Count word frequency	def count_word_frequency(text: str) -> Dict[str, int]
Decode ROT13 string	def rot13_decode(s: str) -> str
Decompress string	def decompress_string(s: str) -> str
Decrypt Caesar cipher text	def caesar_decrypt(text: str, shift: int) -> str
Encode string to ROT13	def rot13_encode(s: str) -> str
Encrypt text using Caesar cipher	def caesar_encrypt(text: str, shift: int) -> str
Extract domain from URL	def extract_domain(url: str) -> str
Find GCD of two numbers	def gcd(a: int, b: int) -> int
Find LCM of two numbers	def lcm(a: int, b: int) -> int
Find all combinations of a list	def list_combinations(items: List[Any]) -> List[List[Any]]
Find all permutations of a string	def string_permutations(s: str) -> List[str]
Find all prime factors of a number	def prime_factors(n: int) -> List[int]
Find articulation points in graph	def find_articulation_points(graph: Dict[Any, List[Any]]) -> List[Any]
Find bridge edges in graph	def find_bridges(graph: Dict[Any, List[Any]]) -> List[Tuple[Any, Any]]
Find common elements in two lists	def find_common_elements(list1: List[Any], list2: List[Any]) -> List[Any]
Find intersection of two lists	def find_intersection(list1: List[Any], list2: List[Any]) -> List[Any]
Find kth largest element in array	def find_kth_largest(nums: List[int], k: int) -> int
Find longest common prefix	def longest_common_prefix(strings: List[str]) -> str
Find longest common subsequence	def longest_common_subsequence(s1: str, s2: str) -> str
Find longest increasing subsequence	def longest_increasing_subsequence(arr: List[int]) -> List[int]
Find longest palindromic substring	def longest_palindromic_substring(s: str) -> str
Find lowest common ancestor in binary tree	def lowest_common_ancestor(root: TreeNode, p: TreeNode, q: TreeNode) -> TreeNode
Find maximum in a list	def find_max(numbers: List[int]) -> int
Find maximum subarray sum	def max_subarray_sum(arr: List[int]) -> int
Find median of two sorted arrays	def median_of_sorted_arrays(nums1: List[int], nums2: List[int]) -> float
Find minimum in a list	def find_min(numbers: List[int]) -> int
Find second largest in list	def find_second_largest(numbers: List[int]) -> int
Find shortest path in graph (Dijkstra's algorithm)	def dijkstra(graph: Dict[Any, Dict[Any, int]], start: Any, end: Any) -> List[Any]
Find shortest supersequence	def shortest_supersequence(s1: str, s2: str) -> str
Find strongly connected components in graph	def strongly_connected_components(graph: Dict[Any, List[Any]]) -> List[List[Any]]
Find union of two lists	def find_union(list1: List[Any], list2: List[Any]) -> List[Any]
Generate Fibonacci sequence	def fibonacci_sequence(n: int) -> List[int]
Generate UUID	def generate_uuid() -> str
Generate a password	def generate_password(length: int) -> str
Generate all possible valid IP addresses	def generate_ip_addresses(s: str) -> List[str]
Generate multiplication table	def multiplication_table(n: int) -> List[List[int]]
Generate pascal's triangle	def pascal_triangle(n: int) -> List[List[int]]
Generate random number	def generate_random_number(min_value: int, max_value: int) -> int
Generate random password	def generate_password(length: int) -> str
Implement A* search algorithm	def a_star_search(graph: Dict[Any, Dict[Any, int]], start: Any, goal: Any, heuristic: Callable) -> List[Any]
Implement Aho-Corasick algorithm	class AhoCorasick: def __init__(self, patterns: List[str]): ... def search(self, text: str) -> List
Implement B-tree	class BTree: def __init__(self, t: int): ... def insert(self, k: Any) -> None: ... def delete(self, k: Any) -> None: ...
Implement Bellman-Ford algorithm	def bellman_ford(graph: Dict[Any, Dict[Any, int]], start: Any) -> Dict[Any, int]
Implement Bloom filter	class BloomFilter: def __init__(self, size: int, hash_functions: List[Callable]): ... def add(self, item: Any) -> None: ... def contains(self, item: Any) -> bool: ...
Implement Conway's Game of Life	def game_of_life(board: List[List[int]]) -> None
Implement Fenwick tree (Binary Indexed Tree)	class FenwickTree: def __init__(self, n: int): ... def update(self, index: int, delta: int) -> None: ... def query(self, index: int) -> int: ...
Implement Fisher-Yates shuffle	def fisher_yates_shuffle(arr: List[Any]) -> List[Any]
Implement Floyd-Warshall algorithm	def floyd_warshall(graph: List[List[int]]) -> List[List[int]]
Implement Huffman coding	def huffman_encoding(text: str) -> Tuple[Dict[str, str], str]
Implement Kadane's algorithm	def kadanes_algorithm(arr: List[int]) -> int
Implement Knuth-Morris-Pratt algorithm	def kmp_search(text: str, pattern: str) -> List[int]
Implement LRU cache	class LRUCache: def __init__(self, capacity: int): ... def get(self, key: int) -> int: ... def put(self, key: int, value: int) -> None: ...
Implement Rabin-Karp algorithm	def rabin_karp_search(text: str, pattern: str) -> List[int]
Implement Sieve of Eratosthenes	def sieve_of_eratosthenes(n: int) -> List[int]
Implement Union-Find data structure	class UnionFind: def __init__(self, n: int): ... def find(self, x: int) -> int: ... def union(self, x: int, y: int) -> None: ...
Implement binary exponentiation	def binary_exponentiation(base: int, exponent: int) -> int
Implement binary search tree	class BinarySearchTree: def __init__(self): ... def insert(self, data: Any) -> None: ... def search(self, data: Any) -> bool: ... def delete(self, data: Any) -> None: ...
Implement breadth-first search	def bfs(graph: Dict[Any, List[Any]], start: Any) -> List[Any]
Implement bubble sort	def bubble_sort(arr: List[int]) -> List[int]
Implement depth-first search	def dfs(graph: Dict[Any, List[Any]], start: Any) -> List[Any]
Implement hash table	class HashTable: def __init__(self): ... def set(self, key: Any, value: Any) -> None: ... def get(self, key: Any) -> Any: ... def remove(self, key: Any) -> None: ...
Implement heap data structure	class Heap: def __init__(self): ... def push(self, item: Any) -> None: ... def pop(self) -> Any: ... def peek(self) -> Any: ...
Implement insertion sort	def insertion_sort(arr: List[int]) -> List[int]
Implement linked list	class LinkedList: def __init__(self): ... def append(self, data: Any) -> None: ... def prepend(self, data: Any) -> None: ... def delete(self, data: Any) -> None: ...
Implement matrix multiplication	def matrix_multiply(matrix1: List[List[int]], matrix2: List[List[int]]) -> List[List[int]]
Implement merge sort	def merge_sort(arr: List[int]) -> List[int]
Implement queue data structure	class Queue: def __init__(self): ... def enqueue(self, item: Any) -> None: ... def dequeue(self) -> Any: ... def front(self) -> Any: ... def is_empty(self) -> bool: ...
Implement quick sort	def quick_sort(arr: List[int]) -> List[int]
Implement red-black tree	class RedBlackTree: def __init__(self): ... def insert(self, key: Any) -> None: ... def delete(self, key: Any) -> None: ...
Implement regex matching	def regex_match(text: str, pattern: str) -> bool
Implement segment tree	class SegmentTree: def __init__(self, arr: List[int]): ... def update(self, index: int, value: int) -> None: ... def query(self, left: int, right: int) -> int: ...
Implement selection sort	def selection_sort(arr: List[int]) -> List[int]
Implement skip list	class SkipList: def __init__(self): ... def insert(self, key: Any) -> None: ... def search(self, key: Any) -> bool: ... def delete(self, key: Any) -> None: ...
Implement stack data structure	class Stack: def __init__(self): ... def push(self, item: Any) -> None: ... def pop(self) -> Any: ... def peek(self) -> Any: ... def is_empty(self) -> bool: ...
Implement topological sort	def topological_sort(graph: Dict[Any, List[Any]]) -> List[Any]
Implement trie data structure	class Trie: def __init__(self): ... def insert(self, word: str) -> None: ... def search(self, word: str) -> bool: ... def starts_with(self, prefix: str) -> bool: ...
Join list into string	def join_list(items: List[str], delimiter: str = ' ') -> str
Linear search in list	def linear_search(items: List[Any], target: Any) -> int
Merge two sorted lists	def merge_sorted_lists(list1: List[Any], list2: List[Any]) -> List[Any]
Read a file	def read_file(file_path: str) -> str
Read user input	def get_user_input(prompt: str) -> str
Remove duplicates from a list	def remove_duplicates(items: List[Any]) -> List[Any]
Remove vowels from a string	def remove_vowels(s: str) -> str
Replace substring in string	def replace_substring(s: str, old: str, new: str) -> str
Reverse a list	def reverse_list(items: List[Any]) -> List[Any]
Reverse a string	def reverse_string(s: str) -> str
Rotate list by k positions	def rotate_list(items: List[Any], k: int) -> List[Any]
Solve 0/1 Knapsack problem	def knapsack_01(values: List[int], weights: List[int], capacity: int) -> int
Solve N-Queens problem	def solve_n_queens(n: int) -> List[List[str]]
Solve Sudoku puzzle	def solve_sudoku(board: List[List[int]]) -> bool
Solve Travelling Salesman Problem	def travelling_salesman(graph: Dict[Any, Dict[Any, int]]) -> Tuple[List[Any], int]
Solve matrix chain multiplication	def matrix_chain_multiplication(dimensions: List[int]) -> int
Solve maximum flow problem (Ford-Fulkerson algorithm)	def ford_fulkerson(graph: Dict[Any, Dict[Any, int]], source: Any, sink: Any) -> int
Solve minimum spanning tree (Kruskal's algorithm)	def kruskal_mst(graph: Dict[Any, Dict[Any, int]]) -> List[Tuple[Any, Any, int]]
Sort a list	def sort_list(items: List[Any], reverse: bool = False) -> List[Any]
Split string into list	def split_string(s: str, delimiter: str = ' ') -> List[str]
Transpose a matrix	def transpose_matrix(matrix: List[List[Any]]) -> List[List[Any]]
Validate credit card number	def is_valid_credit_card(card_number: str) -> bool
Validate email address	def is_valid_email(email: str) -> bool
Write to a file	def write_file(file_path: str, content: str) -> None
